,text,target
0,i ll be trying it tomorrow it s dloading as we speak,4
1,of course i downloaded careless whisper i m kind of oded on wake me up though b c of the college bars in the midwest,4
2,i am doing the housework i didn t do yesterday because i was playing taxicab,4
3,missed a day and a half of twitter and can t possibly go through my updates me anything important i missed,4
4,i am upset coz i have reached my search limit,0
5,lol raining is going on very wet outside,0
6,purcell damm that reminds me i missed out on them on wednesday night,0
7,eating magnum to cheer herself up,0
8,im tryna memomrize a lettered password lol i miss my fryhead that loser,0
9,welcome to the twittersphere i like your name for it it s fun but can get super addicting,4
10,im from spaiin wbuu,4
11,time to go home heading to the airport in a few,0
12,in health we watched cribs and true life hell yeah,4
13,ah i d totally forgotten about that probably not gonna be able to go been a bit ill need to get better before exams lol,0
14,i love you,4
15,you know those hair wraps with the yarn that you used to get when you were like i have one now,4
16,cant find dragonquest on ebay,0
17,i love you,4
18,hi everybody i wish i was there have a great day,0
19,another hour tops then i m off to bed chat tomorrow x,4
20,thanks for following can you please spread the word i will do the same for you godbless xxx,4
21,welcome back now put on a show if i can c u preferably on long island,4
22,i get to work again today and tomorrow i m so lucky,0
23,stoked my phone bill has been halved since moving mobile to tpg and landline calls to skype,4
24,i ve experienced apathy over empathy in customer service situations too many times recently,0
25,planning my party with jessica even though its in october,4
26,so tired today why do i have a feeling that this day is going to be unproductive,0
27,the link you just posted is not working says authorized personnel only,0
28,headed back to jamestown this morning sad day today,0
29,this is when i was smoking before i quit petite size now a size boohoo,0
30,i m really in the mood to be on the beach right now and today is the st day i ve taken the bus in weeks i miss my sister s car,0
31,we could do with some mugs in the station first theres non there at all i want a bolton fm fleece if we have any haha,4
32,earlyy evening,4
33,good morning to you all up drinking my coffee looking for a job,4
34,i am so excited to start im training and my internship tomorrow,4
35,dowg oh no i am sorry,0
36,my friends loved your pretzel salad today,4
37,i want to see that one too everyone is watching amazing movies tonight and i m working,4
38,goodnight everybody my long weekend is finally over workin tomorrow,0
39,oh no another game from first peggle then farkle and now this,4
40,or a trade with no money involved,4
41,they are adorable end off,4
42,symons buy and if u don t like it you can give it to me,4
43,good morning manchester,4
44,yes mix things up a little bit,4
45,listening from my windows to my neighbor across the street play the banjo again,4
46,jam lol i miss la as well take mw back with you,0
47,night i m writing again xd,4
48,oats this is happening to me too,0
49,can see i forgot to take my camera just as well i can find photos on the web,0
50,miserable day again looks like i have got to do some painting,0
51,i still don t get what to do i guess i m not a cool twitterman,0
52,i saw tom hollander s cutler beckett costume on display in disney i can t believe i missed his last two movies,0
53,yuck not good,0
54,musicmonday and,4
55,happy mothers day to all the twitter moms sent my own mom a very sleepy video by phone and called after,4
56,i ll pass it over to you i d feel a fake seeing as i don t run anymore yeah good idea about the jogger blogger,0
57,its raining,0
58,adam lambert rocks he must win american idol,4
59,wow you re spoiling me,4
60,via looking forward to tweeting with you have a wonderful day brian varga lookin,4
61,weee playing crazier on my uke gives me a high,4
62,ok i just heard bebe and cece using autotune on their new gospel song,0
63,video i wanted to post just kept refusing to go on will put on usb and pass around the group tho,0
64,won t be buying sims they lied and told me it would be out in february,0
65,im following you vicky all the way to florida not really just on twitter the new social networking sensation hope u fun,4
66,played stuntman ignition for most of the day today damn that game rocks it s so underrated,4
67,hey i am going on a cruise in nov i will be sad if they do theirs in nov too,0
68,i m back from school and city now i m very overtired,0
69,am arrival in albuquerqe nm after driving to thru sedona az and meteor crater nice weather fly home today,0
70,that s cool i m writing and messaging you go right ahead and ignore me kidding i know you re busy,4
71,i have meetings tomorrow oh no boriinngggg,0
72,so that is different than normal how,4
73,we love schooool nerd hahaha hey there,4
74,about to go to school but the good thing is that i will be getting a call from short stack today aww yeahh,0
75,he is actually spearheading all international awips projects just starting with ksa,4
76,multiclutch is broken squarespace,0
77,writechat there are certainly issues there yes if not wrong people then dubious policies in many cases,4
78,i got the best of my life being complete with him is all i asked for,4
79,it s only monday,0
80,thinks dentists are mean,0
81,had a great night with and sarah i m going to miss when she s gone,0
82,thanks for adding me glad to have you,4
83,i wish i had known about peaches i would go,0
84,ugh netball,0
85,cely heeeyy llegaste ya has visto un jackelope,4
86,million dollars for sure cuz everyone will love you then u can pick n choose who u wanna love,4
87,this is what i hate the most about seeing my family leaving them its like freshman year of college all over again,0
88,in six days my owners will take me to the vets to stay there for seven days while they go to beach,0
89,graduation is in the horizon,4
90,yeah not looking forward to it,4
91,sooo tired and have so much to do,0
92,making breakfast cinnamon rolls from the best light recipe mmmmm good,4
93,lol and sure you know me always up for more photos,4
94,when i lived in vancouver our cable system got an east coast feed not here trying to dodge sytycd east coast spoilers,0
95,i watch true blood too so does,4
96,damn sorry,0
97,i just finish my nap watching bolt while doing all the homework from my one class,0
98,this is war marsiscoming marsiscoming marsiscoming echelon unite,4
99,i m yours jason mraz,4
100,meh crazy idiot most of all,0
101,need to go to sleep quite the interesting weekend you know you re getting old when clubbin isn t that fun anymore lol,0
102,yes it was a super sweet movie sounds like you re there too madly in love that is,4
103,dizzy with twitter happy sabbath all,4
104,hey mark are the vegas tickets sold out any way to get vip i just purchased my flight ticket from guadalajara to vegas,0
105,sometimes the truth is like that go ahead and gloat,4
106,i appreciate directv for allowing me to watch shows hours early with the east coast,4
107,worked the biked home and didnt get to bed till and woke up at now i cant move ugghh more months of this,0
108,ooohh ill check it oooout fanks,4
109,tonight with my homegirls bgt final who do you want to win diversity,4
110,oh man just remembered a few hours too late that we were supposed to see ladytron tonight fail,0
111,worried about my grandma,0
112,but i like that way of thinking have a good weekend old maid take care of that knee and get a massage,4
113,the photograph is proof tbs music,4
114,i ve lost my house keys,0
115,i m not judging lol in fact that sounds like something i would do,4
116,mona can you call me,4
117,ughhhh there is nothing on tonight,0
118,i haven t eaten anything about to go to a grad i m gonna die,0
119,it s also a weekend to answer my msn message,4
120,no born and rasied in the usa name is angela france born n raised usa,4
121,that is awesome it s like watching a movie with the directors soundtrack i m gonna do some torrent hunting,4
122,a nice lunch makes half the day,4
123,that sucks,0
124,ughhh i feel so full my recruiter ordered wings for people and a whole bunch of other stuff he made us eat till we puked literally,0
125,can you save me some,4
126,ky monkey crap ok guess i will keep missing danny for that much longer then,4
127,sooo bored dont want to go to soccer tonite,0
128,can get im lite to load,0
129,is tireeeeeeed,0
130,back from school tomorrow is the casting i can t wait,4
131,just received a juicy cheque for shame i have to save it for my rent for my new place i want go to a festival boo,0
132,woah your movie was amazing i seriously cant wait till you come to australia i love you three so much,4
133,on my s groove wish i was in ny,0
134,jealous that you have time for that all of my mornings are accounted for these days,4
135,why is it rainingggg we have officially fucked up the earthhh,0
136,am feedings for the baby are fun when he is all smiles and coos,4
137,um yea of coarse wayne is the man,4
138,poor cousin i heard she has just maybe broke her leg and she can t play football a little while she just loves football so much,0
139,i heard that they will being playing good girls go bad tomorrow sunday on the at you should pro listen in for it i know i am,4
140,tried to sleep but i cant bout call tisha,4
141,ouch jerk fine i guess not,0
142,wishes he was in vegas playing in the wsop i miss those days,0
143,lakers were definitely hungry they deserve it,4
144,the messengers with kristen from twilight some lifetime movie baby sean i miss you,0
145,just got finished cleaning i m wore out,0
146,shoulders shot i love getting hurt but it is what it is work today then idk what,0
147,didn t go dblo eventually sang k in school instead awesome,4
148,i m drinking the horde one next i m saving it because i m assuming that naturally it s better,0
149,im starving lunch not ready,0
150,june the day my world turned upside down its been years without you mommy i miss you so much,0
151,i want to see his new haircut,0
152,drove to work with my vespa through the pouring rain the rain overall was keeping me dry,4
153,it s about am in germany just got home missed dj sami that s bad had got some chief meeting from am to am,0
154,home tired and a bit sun burnt but had a good time pub later,4
155,sad no one notices comments on my newly dirty blond hair thats what i get for working w a bunch of engineers fb,0
156,d aron i love the smell of coffee i unfortunately get a massive headache if i drink it,0
157,lol you re the best,4
158,mmmmm jazz all day text it,4
159,i so wished u would have been there miss u already roomie,0
160,dude i went to strings and things with trafton and now we re at guitar center in nashua i m in love with this place,4
161,made a bomb and it blew in my mouth just made the best f ing dinner,4
162,eating sushi palace instead,4
163,on my way to college for the history exam good luck for those sitting it hope you do better than me lol xo,4
164,i see i get this there was an unexpected error while retrieving your benefit data and we cannot process your request,0
165,thinking of you,0
166,i m in tequila jalisco surrounded by alcohol and i can t have any cos i m sick,0
167,trix my mom just had a root canal also i feel your pain buddy,0
168,i was planning to ask you for advice on that my friend mailart,4
